,Customer,State,Coverage,Education,Job_Status,Gender,Income,Location,Civil_Status,Monthly_Price,Months_LastClaim,Months_SinceActivation,Number_Open_Complaints,Number_Insurances,Policy_Type,Sales_Channel,Car_Type,Car_Size
61,RU83859,California,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Call Center,Two-Door Car,Small
62,FG63582,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Agent,Two-Door Car,Small
63,NN71951,California,Basic,High School or Below,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Agent,SUV,Medsize
64,WB37082,Arizona,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Branch,Four-Door Car,Large
65,SM52139,Washington,Basic,College,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Web,Four-Door Car,Medsize
66,FL82372,Oregon,Basic,College,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Agent,SUV,Medsize
67,DP45816,Arizona,Extended,High School or Below,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Branch,Two-Door Car,Small
68,GW33762,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Call Center,Two-Door Car,Large
69,RZ33670,California,Premium,College,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Web,Four-Door Car,Medsize
70,PY70169,Oregon,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Agent,SUV,Medsize
71,MO91628,Oregon,Basic,Master,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Web,Two-Door Car,Large
72,HW87852,Oregon,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Agent,Four-Door Car,Medsize
73,HB20453,Oregon,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Agent,Sports Car,Medsize
74,BN87372,Oregon,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Branch,Two-Door Car,Medsize
75,YX23800,Oregon,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Branch,Four-Door Car,Small
76,DZ87709,Oregon,Basic,High School or Below,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Call Center,Four-Door Car,Medsize
77,XW13033,Nevada,Basic,College,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Agent,Four-Door Car,Medsize
78,LN31673,Washington,Extended,College,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Agent,Four-Door Car,Medsize
79,OM82309,California,Basic,Bachelor,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Branch,Luxury Car,Small
80,ZU35962,California,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Branch,Two-Door Car,Large
81,VH85817,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Call Center,Four-Door Car,Medsize
82,DT85712,California,Basic,Doctor,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Branch,SUV,Medsize
83,YJ88573,Nevada,Basic,Master,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Call Center,Four-Door Car,Large
84,SQ19467,Oregon,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Agent,Four-Door Car,Small
85,HF88410,Washington,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Call Center,Four-Door Car,Medsize
86,ET79815,California,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Agent,Four-Door Car,Medsize
87,QC35222,California,Basic,Bachelor,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Web,Four-Door Car,Medsize
88,CJ15590,Oregon,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Branch,Four-Door Car,Medsize
89,OI48267,California,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Branch,Four-Door Car,Medsize
90,JY67916,Oregon,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Branch,Two-Door Car,Small
91,OE75231,Washington,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Call Center,Two-Door Car,Medsize
92,CZ33664,Oregon,Basic,Bachelor,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Agent,Four-Door Car,Medsize
93,WK30175,Oregon,Basic,Bachelor,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Branch,Two-Door Car,Small
94,ON44465,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Agent,Four-Door Car,Medsize
95,TV87155,Oregon,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Branch,Four-Door Car,Large
96,KH48895,Arizona,Basic,Master,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Branch,SUV,Medsize
97,NZ30757,California,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Agent,Four-Door Car,Medsize
98,RI22468,Arizona,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Web,Four-Door Car,Medsize
99,FZ30935,Oregon,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Agent,Two-Door Car,Small
100,UG93476,California,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Agent,SUV,Medsize
101,AB96670,California,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Branch,Four-Door Car,Medsize
102,XK64261,Oregon,Basic,Bachelor,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Call Center,Two-Door Car,Medsize
103,EV68375,California,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Branch,Four-Door Car,Medsize
104,UN51653,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Web,SUV,Medsize
105,TO96662,Oregon,Extended,Bachelor,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Call Center,Four-Door Car,Small
106,MR52087,California,Basic,Bachelor,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Branch,Four-Door Car,Medsize
107,DE75225,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Agent,SUV,Medsize
108,EP80820,California,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Agent,Two-Door Car,Medsize
109,GU99037,Oregon,Basic,College,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Agent,Four-Door Car,Medsize
110,WI57118,California,Extended,College,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Agent,Four-Door Car,Small
111,YQ74870,Washington,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Web,Four-Door Car,Small
112,MQ14219,Arizona,Basic,College,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Branch,SUV,Medsize
113,KN20603,Oregon,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Agent,Four-Door Car,Medsize
114,CR48975,Washington,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Branch,Four-Door Car,Medsize
115,JI70886,California,Basic,High School or Below,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Agent,SUV,Medsize
116,VF72557,Oregon,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Agent,SUV,Medsize
117,OX28638,Arizona,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Branch,Two-Door Car,Medsize
118,SK55033,California,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Agent,Two-Door Car,Medsize
119,OO88645,California,Extended,College,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Call Center,Four-Door Car,Medsize
120,YT36855,Washington,Extended,College,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Web,Two-Door Car,Medsize
121,CW82151,California,Basic,Bachelor,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Call Center,Sports Car,Medsize
122,DY22043,Oregon,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Branch,Two-Door Car,Small
123,SH36774,California,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Web,Luxury SUV,Medsize
124,EM43724,Nevada,Basic,Bachelor,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Agent,Four-Door Car,Medsize
125,FH85960,Oregon,Premium,College,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Call Center,Four-Door Car,Medsize
126,XA55993,Oregon,Extended,Master,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Branch,Four-Door Car,Medsize
127,GO36627,Arizona,Extended,College,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Branch,Four-Door Car,Medsize
128,QH48047,Oregon,Basic,College,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Web,Four-Door Car,Medsize
129,RB50392,Washington,Basic,Master,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Agent,Four-Door Car,Medsize
130,UH65059,Arizona,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Agent,Sports Car,Medsize
131,FV21968,Nevada,Basic,Bachelor,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Branch,Four-Door Car,Medsize
132,QA87025,Oregon,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Call Center,Four-Door Car,Medsize
133,TQ13499,Arizona,Premium,College,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Agent,Four-Door Car,Small
134,BU44523,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Web,Four-Door Car,Small
135,MS41162,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Agent,SUV,Medsize
136,PU25891,Oregon,Basic,High School or Below,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Branch,Sports Car,Medsize
137,RB81636,Washington,Basic,College,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Agent,Four-Door Car,Small
138,SX26335,Oregon,Extended,College,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal Auto,Branch,Four-Door Car,Medsize
139,AZ95587,Arizona,Extended,Bachelor,Employed,F,61222,Urban,Single,89,20,55,0,2,Special Auto,Branch,Four-Door Car,Small
140,DS81757,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal Auto,Web,Two-Door Car,Large
141,OJ94107,Arizona,Premium,Master,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal Auto,Call Center,SUV,Medsize
142,LP84436,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal Auto,Branch,Sports Car,Medsize
143,YV64727,Washington,Premium,High School or Below,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Agent,SUV,Medsize
144,LM19287,Oregon,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Agent,Four-Door Car,Large
145,ZU18643,Nevada,Extended,Bachelor,Employed,M,64495,Urban,Married,92,34,30,0,1,Corporate Auto,Web,Four-Door Car,Medsize
146,AZ82578,California,Basic,College,Unemployed,F,0,Suburban,Married,72,7,75,0,2,Corporate Auto,Call Center,Four-Door Car,Medsize
147,XC67861,Arizona,Basic,Bachelor,Employed,F,28859,Suburban,Divorced,67,24,51,3,4,Corporate Auto,Call Center,Two-Door Car,Medsize
148,YC43143,Arizona,Extended,High School or Below,Employed,F,77330,Rural,Married,99,0,21,0,3,Personal Auto,Web,Four-Door Car,Medsize
149,EK59571,Oregon,Premium,College,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Corporate Auto,Branch,Four-Door Car,Large
150,GD83998,Washington,Basic,Bachelor,Employed,M,24495,Suburban,Single,70,29,65,0,1,Personal Auto,Branch,Four-Door Car,Small
151,WA25797,Washington,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Agent,Sports Car,Medsize
152,PD27940,Arizona,Extended,High School or Below,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Personal Auto,Agent,SUV,Medsize
153,BS77946,Arizona,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Personal Auto,Branch,SUV,Medsize
154,YM50253,California,Basic,Bachelor,Employed,F,89270,Urban,Single,74,17,90,0,1,Personal Auto,Branch,Four-Door Car,Medsize
155,NR15332,California,Basic,High School or Below,Employed,M,29757,Suburban,Married,65,13,55,0,1,Personal Auto,Web,Four-Door Car,Small
156,RC62865,Oregon,Extended,College,Employed,M,51814,Rural,Single,92,28,89,0,1,Personal Auto,Agent,Four-Door Car,Medsize
157,CC15295,Oregon,Extended,Bachelor,Employed,F,24028,Suburban,Married,82,14,27,0,2,Personal Auto,Agent,Four-Door Car,Small
158,KA61892,Arizona,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Agent,Sports Car,Medsize
159,OS94884,Arizona,Basic,Bachelor,Employed,F,52705,Rural,Married,64,14,8,1,2,Personal Auto,Web,Two-Door Car,Large
160,ND87334,California,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,1,5,0,1,Corporate Auto,Agent,Two-Door Car,Medsize
161,ML93326,Washington,Basic,College,Employed,F,84903,Urban,Married,111,7,63,0,1,Personal Auto,Agent,SUV,Medsize
162,YL74911,California,Basic,College,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Agent,SUV,Medsize
163,JP69864,Washington,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,7,63,1,1,Personal Auto,Branch,Four-Door Car,Medsize
164,HL53154,California,Extended,Bachelor,Unemployed,M,0,Suburban,Single,77,15,12,2,2,Personal Auto,Agent,Four-Door Car,Medsize
165,RI78966,Oregon,Basic,Master,Medical Leave,M,21876,Suburban,Married,68,12,28,0,2,Personal Auto,Agent,Four-Door Car,Small
166,IC13702,California,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,33,61,1,2,Personal Auto,Agent,Four-Door Car,Small
167,BE10809,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Agent,Four-Door Car,Small
168,HT87217,Oregon,Extended,High School or Below,Employed,F,70699,Urban,Divorced,82,1,57,0,2,Personal Auto,Agent,Four-Door Car,Medsize
169,TH95618,California,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,11,85,1,2,Personal Auto,Agent,Four-Door Car,Medsize
170,TS19868,California,Basic,College,Medical Leave,M,27501,Suburban,Married,63,20,0,0,1,Personal Auto,Branch,Four-Door Car,Medsize
171,LP45550,Oregon,Premium,Doctor,Disabled,F,15897,Urban,Divorced,101,30,99,0,2,Personal Auto,Agent,Four-Door Car,Medsize
172,QR87004,Nevada,Basic,College,Employed,F,25141,Rural,Divorced,73,12,4,1,2,Personal Auto,Agent,Four-Door Car,Medsize
173,OE75747,Nevada,Basic,College,Unemployed,F,0,Suburban,Married,61,5,46,3,1,Personal Auto,Agent,Four-Door Car,Small
174,DX91392,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Call Center,Four-Door Car,Medsize
175,AB72731,California,Basic,Bachelor,Employed,F,28358,Rural,Married,117,24,37,0,1,Personal Auto,Call Center,Sports Car,Medsize
176,RU49126,Washington,Basic,College,Employed,F,61846,Rural,Married,112,1,48,0,1,Personal Auto,Agent,SUV,Medsize
177,IS12901,Arizona,Basic,Bachelor,Employed,F,90972,Urban,Married,74,3,47,0,8,Personal Auto,Call Center,Two-Door Car,Medsize
178,IX37561,Washington,Basic,College,Unemployed,F,0,Suburban,Single,74,3,95,0,7,Personal Auto,Web,Two-Door Car,Medsize
179,HH90090,California,Basic,Bachelor,Employed,F,29549,Suburban,Divorced,104,17,51,0,1,Personal Auto,Call Center,Sports Car,Small
180,IU25463,California,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,12,17,1,2,Personal Auto,Agent,Four-Door Car,Medsize
181,KC11055,Nevada,Extended,Bachelor,Employed,F,39411,Suburban,Married,217,4,29,2,4,Personal Auto,Branch,Luxury Car,Medsize
182,PD33979,Oregon,Basic,High School or Below,Employed,M,21709,Suburban,Married,62,28,17,0,3,Personal Auto,Branch,Four-Door Car,Large
183,NK71023,Nevada,Extended,Bachelor,Employed,M,67890,Suburban,Single,85,23,57,0,2,Personal Auto,Agent,Four-Door Car,Small
184,AB13432,California,Basic,Bachelor,Unemployed,M,0,Suburban,Single,110,3,16,0,1,Personal Auto,Agent,SUV,Medsize
185,OZ97704,California,Basic,High School or Below,Employed,F,84311,Suburban,Single,111,11,98,4,2,Personal Auto,Call Center,SUV,Small
186,UF46533,California,Basic,College,Employed,F,99316,Suburban,Single,114,26,53,0,1,Corporate Auto,Branch,SUV,Medsize
187,XP47431,Arizona,Extended,Bachelor,Employed,F,54507,Suburban,Married,138,20,11,0,1,Personal Auto,Agent,SUV,Medsize
188,GK73582,California,Extended,Bachelor,Employed,F,64586,Urban,Single,76,3,17,0,1,Personal Auto,Branch,Four-Door Car,Medsize
189,RV98763,Oregon,Extended,College,Employed,M,61709,Urban,Married,82,5,41,2,7,Personal Auto,Branch,Four-Door Car,Medsize
190,II62831,California,Basic,Master,Employed,M,94656,Urban,Married,111,12,79,1,1,Special Auto,Web,SUV,Medsize
191,XK33449,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,69,5,40,0,1,Special Auto,Branch,Two-Door Car,Small
192,TR85083,California,Basic,Bachelor,Employed,M,61085,Suburban,Married,70,27,34,1,1,Personal Auto,Branch,Two-Door Car,Medsize
193,EO95328,Oregon,Basic,Bachelor,Employed,F,89284,Suburban,Married,67,7,31,3,2,Personal Auto,Agent,Two-Door Car,Small
194,EN21086,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,63,6,12,0,2,Personal Auto,Branch,Four-Door Car,Small
195,YL83902,Washington,Extended,Bachelor,Employed,F,31686,Suburban,Married,81,11,33,0,1,Personal Auto,Agent,Four-Door Car,Small
